
 === RESTART @ [03-02-2021 21:20:21] === 
[03-02-2021 21:20:22] INFO: --OpenGl INFO--
[03-02-2021 21:20:22] INFO: Vendor  : {0}
[03-02-2021 21:20:22] INFO: Renderer: {0}
[03-02-2021 21:20:22] INFO: Version : {0}
[03-02-2021 21:20:23] INFO: Successfully loaded assembly: {0}
[03-02-2021 21:20:23] INFO: Successfully loaded assembly: {0}
[03-02-2021 21:20:23] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:23] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:23] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:23] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:23] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:23] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:23] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:23] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:23] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:23] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:23] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:23] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:23] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
[03-02-2021 21:20:24] INFO: LOG TEST 0.000000 0.000000 -92559631349317830736831783200707727132248687965119994463780864.000000
